exp_nr,exp_id,exp_variant,metatest,K,avg,std
3b,3,b,cb,4,0.44886363636363635,0.10213973277267908
3b,3,b,cb,8,0.6342857142857142,0.05978838443206824
3b,3,b,qqp,2,0.557681937367041,0.12300496590393495
3b,3,b,qqp,4,0.6142410073722231,0.07509992687437751
3b,3,b,rte,2,0.5104395604395604,0.06584055018077403
3b,3,b,rte,4,0.5202602230483271,0.05501323298835945
3b,3,b,rte,8,0.54272030651341,0.04230615257967612
3b,3,b,sick,2,0.5508179959100205,0.10647242336244117
3b,3,b,sick,4,0.6442028985507247,0.08593681550183192
3b,3,b,sick,8,0.6774946921443736,0.03814136951936413
3b,3,b,sst,2,0.660483870967742,0.08580566289239758
3b,3,b,sst,4,0.7078703703703704,0.08962439118856469
3b,3,b,sst,8,0.7057827102803739,0.08028941916904317
4,4,a,boolq,2,0.49672382118799757,0.06184936498935561
4,4,a,boolq,4,0.49118638871857756,0.05445258886631996
4,4,a,boolq,8,0.4923939766441303,0.06886101311887081
4,4,a,sst,2,0.5286866359447004,0.039036344122231316
4,4,a,sst,4,0.532349537037037,0.02964522339947305
4,4,a,sst,8,0.539427570093458,0.02858256987454091
4,4,a,wgrande,2,0.5006730007917657,0.007276063429553542
4,4,a,wgrande,4,0.5011914217633042,0.0066504277832345705
4,4,a,wgrande,8,0.4974420463629097,0.007922185045284767
4b,4,b,boolq,2,0.5231169626454378,0.06368968179641274
4b,4,b,boolq,4,0.5260116492949111,0.055604509582109725
4b,4,b,boolq,8,0.5278272894898587,0.05248890261983606
4b,4,b,sst,2,0.7782258064516129,0.04950954898462032
4b,4,b,sst,4,0.8092592592592592,0.026373174247797695
4b,4,b,sst,8,0.8232476635514019,0.01845607591710641
4b,4,b,wgrande,2,0.5017022961203483,0.012242488567178874
4b,4,b,wgrande,4,0.4994042891183479,0.009172323220022757
4b,4,b,wgrande,8,0.5017585931254996,0.010936012013435317
4c,4,c,boolq,2,0.5143600734843846,0.04275754186259498
4c,4,c,boolq,4,0.5043838136112814,0.03803496523931455
4c,4,c,boolq,8,0.5084357713583282,0.03296578776421806
4c,4,c,sst,2,0.6832373271889401,0.11526464438724632
4c,4,c,sst,4,0.7456597222222222,0.056805349770697615
4c,4,c,sst,8,0.7805490654205608,0.03243966788783375
4c,4,c,wgrande,2,0.4991686460807601,0.01647953035546906
4c,4,c,wgrande,4,0.5046465448768864,0.014025719652738312
4c,4,c,wgrande,8,0.5021582733812949,0.013092775677660113
5,5,a,argument,2,0.3138998035363458,0.07840590268622091
5,5,a,argument,4,0.34073891625615765,0.10834622633704892
5,5,a,argument,8,0.37242319127849355,0.10900430418535377
5,5,a,rte,2,0.5016483516483516,0.029626979830210957
5,5,a,rte,4,0.503903345724907,0.029922034948697673
5,5,a,rte,8,0.4875478927203065,0.03309653438438314
5,5,a,scitail,2,0.5110384615384616,0.015121793513113931
5,5,a,scitail,4,0.5054783950617284,0.019819569881194484
5,5,a,scitail,8,0.506832298136646,0.019439500207387838
5,5,a,sick,2,0.3619631901840491,0.13743535678166016
5,5,a,sick,4,0.3370600414078675,0.11354644642526623
5,5,a,sick,8,0.33959660297239913,0.1395632562662281
5b,5,b,argument,2,0.3523575638506876,0.0633801454001612
5b,5,b,argument,4,0.38578817733990145,0.055048027077735005
5b,5,b,argument,8,0.4294846382556987,0.07558931828708221
5b,5,b,rte,2,0.5104395604395604,0.06584055018077403
5b,5,b,rte,4,0.5202602230483271,0.05501323298835945
5b,5,b,rte,8,0.54272030651341,0.04230615257967612
5b,5,b,scitail,2,0.7302307692307692,0.1122833149740019
5b,5,b,scitail,4,0.7864969135802469,0.04083417685024855
5b,5,b,scitail,8,0.8112965838509316,0.03540332793286655
5b,5,b,sick,2,0.5508179959100205,0.10647242336244117
5b,5,b,sick,4,0.6442028985507247,0.08593681550183192
5b,5,b,sick,8,0.6774946921443736,0.03814136951936413
5c,5,c,argument,2,0.3131139489194499,0.059581107666537306
5c,5,c,argument,4,0.35339901477832514,0.05189322585147083
5c,5,c,argument,8,0.3658820614469772,0.05161267434036963
5c,5,c,rte,2,0.5043956043956044,0.0326354812069833
5c,5,c,rte,4,0.49572490706319705,0.028189773097559254
5c,5,c,rte,8,0.5028735632183908,0.02933435549046211
5c,5,c,scitail,2,0.5214615384615384,0.047137890187973035
5c,5,c,scitail,4,0.5072145061728395,0.03410925174636955
5c,5,c,scitail,8,0.4992624223602485,0.003954656546994603
5c,5,c,sick,2,0.346319018404908,0.12506997635671432
5c,5,c,sick,4,0.403416149068323,0.1548878501261057
5c,5,c,sick,8,0.3370488322717622,0.1714154091054481
6b,6,b,cb,2,0.361,0.1076984093123991
6b,6,b,rte,2,0.5412087912087912,0.08258449777339467
6b,6,b,rte,4,0.5767657992565056,0.08067653811131341
6b,6,b,sick,2,0.5846625766871165,0.15766732263754002
6c,6,c,cb,2,0.5740000000000001,0.11609433550713018
6c,6,c,rte,2,0.4987179487179487,0.05954375249843561
6c,6,c,rte,4,0.5589219330855019,0.0721376650670531
6c,6,c,sick,2,0.657361963190184,0.10929242187330455
7b,7,b,boolq,2,0.491840171463564,0.055797357111278485
7b,7,b,boolq,4,0.519435928877989,0.04267335962344091
7b,7,b,cb,2,0.456,0.07329823721582511
7b,7,b,rte,2,0.5358974358974359,0.06692378866877234
7b,7,b,rte,4,0.5552044609665427,0.07643594483304977
7b,7,b,sick,2,0.6565439672801636,0.11711068647219516
7b,7,b,sst,2,0.6729838709677419,0.08250453000746576
7b,7,b,sst,4,0.7346643518518519,0.08755554421107599
7c,7,c,boolq,2,0.5148805878750765,0.060795488431753406
7c,7,c,boolq,4,0.5069742489270387,0.05843434318829222
7c,7,c,cb,2,0.465,0.11749580059685
7c,7,c,rte,2,0.5316849816849817,0.08884915244785217
7c,7,c,rte,4,0.5633828996282528,0.06080353630190678
7c,7,c,sick,2,0.619120654396728,0.17515037241349238
7c,7,c,sst,2,0.6173963133640553,0.0733374340927796
7c,7,c,sst,4,0.634375,0.054659847054714335
8c,8,c,boolq,2,0.5043784445805266,0.05662806096196524
8c,8,c,boolq,4,0.5218577559779276,0.04420561919947897
8c,8,c,sst,2,0.7993087557603686,0.05360431158622035
8c,8,c,sst,4,0.8515625,0.023077606330993386
8c,8,c,wgrande,2,0.502019002375297,0.009285074627239903
8c,8,c,wgrande,4,0.5034154090548054,0.011537888302261396
9c,9,c,argument,2,0.35238212180746564,0.07120879907791543
9c,9,c,rte,2,0.5142857142857142,0.06544384303040966
9c,9,c,rte,4,0.5425650557620818,0.06331172622008403
9c,9,c,scitail,2,0.7346923076923076,0.07233047276607342
9c,9,c,scitail,4,0.7791280864197531,0.03555986860363709
9c,9,c,sick,2,0.6726993865030675,0.10613949014734753
